tpre,tpost,prior_low,prior_high,post_low,post_high,tobs,yobs,ytrue_prior,ytrue_post,dose_1,dose_2
21.0,141.0,0.07819859,0.15458440000000004,0.1052318,0.16598929999999998,114.5857620471279,0.30028183848824597,0.14699323806331369,0.11239009164153299,12.78,15
21.5,141.5,0.07069998,0.144334,0.09721111,0.1569632,114.5857620471279,0.30028183848824597,0.13643483333039,0.1043162243923109,12.78,15
22.0,142.0,0.06416734,0.13567460000000003,0.08936497000000002,0.14873969999999997,114.5857620471279,0.30028183848824597,0.12662452589515072,0.09681478102171034,12.78,15
22.5,142.5,0.05835059,0.12756530000000002,0.08232827999999999,0.1408347,114.5857620471279,0.30028183848824597,0.11751314574900235,0.08984800057154255,12.78,15
23.0,143.0,0.052733129999999996,0.12047200000000001,0.07562534,0.13346139999999998,114.5857620471279,0.30028183848824597,0.10905330763448565,0.08337954859767242,12.78,15
23.5,143.5,0.047929879999999994,0.1136852,0.06934519,0.1267721,114.5857620471279,0.30028183848824597,0.10119993483093821,0.07737489466171177,12.78,15
24.0,144.0,0.04353445,0.10688460000000001,0.06337512000000001,0.1202872,114.5857620471279,0.30028183848824597,0.09391050316992641,0.0718014844433422,12.78,15
24.5,144.5,0.1341886,0.2649266,0.1506324,0.2410657,114.5857620471279,0.30028183848824597,0.23205768576563135,0.17331200448257633,12.78,15
25.0,145.0,0.17055339999999997,0.35431910000000005,0.1873063,0.31789829999999997,114.5857620471279,0.30028183848824597,0.30648978856094644,0.2279299482351228,12.78,15
25.5,145.5,0.1897493,0.3843154000000001,0.2076599,0.3511756999999999,114.5857620471279,0.30028183848824597,0.34174184264443597,0.2537167680983712,12.78,15
26.0,146.0,0.1987374,0.38680480000000006,0.2178412,0.3587143,114.5857620471279,0.30028183848824597,0.3531822626486734,0.2619856149742462,12.78,15
26.5,146.5,0.20004670000000002,0.3752521000000001,0.2210472,0.35228539999999997,114.5857620471279,0.30028183848824597,0.3504180959083188,0.2598082442139712,12.78,15
27.0,147.0,0.1980372,0.3566415,0.21923,0.3383404,114.5857620471279,0.30028183848824597,0.33943667371400843,0.2515916735177277,12.78,15
27.5,147.5,0.1906493,0.33749350000000006,0.21392930000000002,0.321068,114.5857620471279,0.30028183848824597,0.3239524519012264,0.24006970934280064,12.78,15
28.0,148.0,0.18076129999999999,0.31755680000000003,0.2064661,0.30320909999999995,114.5857620471279,0.30028183848824597,0.30625391800319085,0.22692642752720588,12.78,15
28.5,148.5,0.1697194,0.2978592,0.1968221,0.28441819999999995,114.5857620471279,0.30028183848824597,0.2877360485481271,0.21318815930338028,12.78,15
29.0,149.0,0.1581298,0.27816029999999997,0.18679389999999998,0.2667151,114.5857620471279,0.30028183848824597,0.26923498883911184,0.1994698757146929,12.78,15
29.5,149.5,0.1469456,0.2586655,0.17576740000000002,0.2498892,114.5857620471279,0.30028183848824597,0.2512383436593778,0.18612999826871007,12.78,15
30.0,150.0,0.13619769999999998,0.2412146,0.1650932,0.23397449999999997,114.5857620471279,0.30028183848824597,0.23401724078670796,0.17336761973594503,12.78,15
30.5,150.5,0.1253271,0.2247936,0.1540086,0.2191319,114.5857620471279,0.30028183848824597,0.2177092031026402,0.16128351093838023,12.78,15
31.0,151.0,0.114638,0.210256,0.143033,0.2066407,114.5857620471279,0.30028183848824597,0.20237009242204002,0.1499183586462381,12.78,15
31.5,151.5,0.10480030000000001,0.1968848,0.1324295,0.1938312,114.5857620471279,0.30028183848824597,0.18800661197448434,0.13927669113479052,12.78,15
32.0,152.0,0.0958016,0.183421,0.1229322,0.18306450000000002,114.5857620471279,0.30028183848824597,0.17459659214674653,0.12934181007418427,12.78,15
32.5,152.5,0.08706534999999999,0.171096,0.11329390000000002,0.1731221,114.5857620471279,0.30028183848824597,0.16210160305690424,0.12008507367172656,12.78,15
33.0,153.0,0.07891867,0.1608042,0.1045145,0.16317739999999997,114.5857620471279,0.30028183848824597,0.15047475115388806,0.1114716344929595,12.78,15
33.5,153.5,0.07152179,0.15111050000000004,0.09654193,0.153841,114.5857620471279,0.30028183848824597,0.13966545632244778,0.10346395450154573,12.78,15
34.0,154.0,0.06502838999999999,0.14266640000000003,0.08887453000000001,0.1457716,114.5857620471279,0.30028183848824597,0.12962233881306304,0.09602392870178175,12.78,15
34.5,154.5,0.05889091,0.13448520000000003,0.08179909,0.1382408,114.5857620471279,0.30028183848824597,0.12029492570688999,0.08911413985592512,12.78,15
35.0,155.0,0.053346450000000004,0.1264969,0.07523740000000001,0.1308582,114.5857620471279,0.30028183848824597,0.1116346227285215,0.08269857247058088,12.78,15
35.5,155.5,0.04848394,0.1190722,0.06892812,0.1239388,114.5857620471279,0.30028183848824597,0.10359523126543962,0.07674299207338703,12.78,15
36.0,156.0,0.04374147,0.11156370000000006,0.06308269,0.1178024,114.5857620471279,0.30028183848824597,0.09613318610483457,0.07121511898169693,12.78,15
36.5,156.5,0.1372124,0.26722060000000003,0.1491094,0.24044329999999997,114.5857620471279,0.30028183848824597,0.23412019433783637,0.17276789458183678,12.78,15
37.0,157.0,0.17426979999999997,0.3555439,0.1859378,0.3168853,114.5857620471279,0.30028183848824597,0.30840366549931186,0.2274250488107057,12.78,15
37.5,157.5,0.1933182,0.38508460000000005,0.2063387,0.3506299,114.5857620471279,0.30028183848824597,0.34351779886811873,0.25324825350521596,12.78,15
38.0,158.0,0.2020564,0.3884715,0.2163716,0.35853860000000004,114.5857620471279,0.30028183848824597,0.3548302372102622,0.26155086319323,12.78,15
38.5,158.5,0.2033732,0.37722479999999997,0.21944180000000002,0.35183240000000005,114.5857620471279,0.30028183848824597,0.3519473116172578,0.2594048221779064,12.78,15
39.0,159.0,0.20050479999999998,0.35856240000000006,0.21798379999999998,0.3379514,114.5857620471279,0.30028183848824597,0.34085568875160177,0.25121732349481973,12.78,15
39.5,159.5,0.19238129999999998,0.3396464,0.2129373,0.3207037,114.5857620471279,0.30028183848824597,0.3252692077160833,0.23972233630136208,12.78,15
40.0,160.0,0.18253960000000002,0.31998600000000005,0.2054632,0.30244509999999997,114.5857620471279,0.30028183848824597,0.30747578375515644,0.2266040874109133,12.78,15
40.5,160.5,0.17096999999999998,0.29982800000000004,0.1962331,0.2841466,114.5857620471279,0.30028183848824597,0.28886986234942685,0.21288904815145776,12.78,15
41.0,161.0,0.15909020000000001,0.27949680000000005,0.18610119999999997,0.26596889999999995,114.5857620471279,0.30028183848824597,0.2702870960235138,0.19919231956613334,12.78,15
41.5,161.5,0.1478819,0.25963080000000005,0.1752425,0.24927850000000001,114.5857620471279,0.30028183848824597,0.2522146322935445,0.1858724437940338,12.78,15
42.0,162.0,0.1366,0.24296659999999998,0.1646487,0.2332996,114.5857620471279,0.30028183848824597,0.23492317462247478,0.173128625544067,12.78,15
42.5,162.5,0.1256629,0.2269919,0.15371390000000001,0.2183948,114.5857620471279,0.30028183848824597,0.21854985215463665,0.16106173950993494,12.78,15
43.0,163.0,0.1148864,0.21250780000000002,0.1426329,0.20594569999999998,114.5857620471279,0.30028183848824597,0.20315016134178004,0.14971256884821754,12.78,15
43.5,163.5,0.1049741,0.1979322,0.13219250000000002,0.1933361,114.5857620471279,0.30028183848824597,0.18873046637971946,0.13908573127460372,12.78,15
44.0,164.0,0.09588048,0.18511270000000002,0.1227177,0.18237489999999998,114.5857620471279,0.30028183848824597,0.17526828305343323,0.1291646114542657,12.78,15
44.5,164.5,0.08719922,0.1728714,0.113147,0.17212829999999998,114.5857620471279,0.30028183848824597,0.16272488955051762,0.11992064460862227,12.78,15
45.0,165.0,0.07914209,0.16278780000000004,0.1043894,0.1623806,114.5857620471279,0.30028183848824597,0.15105312142696078,0.11131905476741885,12.78,15
45.5,165.5,0.07169813,0.1537514,0.09640503,0.15318969999999998,114.5857620471279,0.30028183848824597,0.1402021471960699,0.1033223702085592,12.78,15
46.0,166.0,0.06506616,0.1447128,0.0887469,0.14482720000000002,114.5857620471279,0.30028183848824597,0.13012035385159362,0.09589254747174304,12.78,15
46.5,166.5,0.05894903,0.13582990000000006,0.08177245000000001,0.1371994,114.5857620471279,0.30028183848824597,0.12075705202725902,0.08899222642017329,12.78,15
47.0,167.0,0.05344812,0.12780870000000008,0.07520978,0.13012590000000002,114.5857620471279,0.30028183848824597,0.11206344659819406,0.08258544454650499,12.78,15
47.5,167.5,0.04854484,0.12025560000000002,0.06886498,0.1232785,114.5857620471279,0.30028183848824597,0.10399315257633598,0.07663801654606474,12.78,15
48.0,168.0,0.04375588999999999,0.1135334,0.06303198,0.1170144,114.5857620471279,0.30028183848824597,0.09650243180420848,0.07111770836069764,12.78,15
48.5,168.5,0.1380322,0.2673012,0.1487211,0.24042039999999998,114.5857620471279,0.30028183848824597,0.2344628308912771,0.17267750371336005,12.78,15
49.0,169.0,0.1752307,0.3555767000000001,0.1853859,0.31669889999999995,114.5857620471279,0.30028183848824597,0.30872161045561813,0.22734117182665442,12.78,15
49.5,169.5,0.1943326,0.38516880000000003,0.2059,0.3505459,114.5857620471279,0.30028183848824597,0.34381283159076753,0.25317042099213033,12.78,15
50.0,170.0,0.2027703,0.3890910000000001,0.2159022,0.3585209,114.5857620471279,0.30028183848824597,0.3551040088355296,0.26147863956523787,12.78,15
50.5,170.5,0.2038627,0.3772907,0.21909620000000002,0.3517617,114.5857620471279,0.30028183848824597,0.3522013542947231,0.25933780323898803,12.78,15
51.0,171.0,0.2009806,0.35913340000000005,0.2177697,0.3378209,114.5857620471279,0.30028183848824597,0.3410914242187477,0.2511551341767446,12.78,15
51.5,171.5,0.19274990000000003,0.3397349,0.2126652,0.3205766,114.5857620471279,0.30028183848824597,0.3254879552549811,0.23966462856463766,12.78,15
52.0,172.0,0.18300690000000003,0.3201347,0.2050864,0.3024217,114.5857620471279,0.30028183848824597,0.3076787675757633,0.22655053829699906,12.78,15
52.5,172.5,0.17122159999999997,0.3000814,0.19596390000000002,0.2841285,114.5857620471279,0.30028183848824597,0.2890582184408177,0.21283935797534337,12.78,15
53.0,173.0,0.1593243,0.2797317,0.1858764,0.2657193,114.5857620471279,0.30028183848824597,0.2704618785113888,0.19914621023916604,12.78,15
53.5,173.5,0.1482633,0.2599303000000001,0.1751131,0.2490181,114.5857620471279,0.30028183848824597,0.2523768193395922,0.1858296572676089,12.78,15
54.0,174.0,0.1366243,0.24334580000000003,0.16453959999999998,0.2330835,114.5857620471279,0.30028183848824597,0.2350736738986065,0.1730889223654713,12.78,15
54.5,174.5,0.1257605,0.22719100000000006,0.1535293,0.2182816,114.5857620471279,0.30028183848824597,0.218689505922728,0.1610248974822614,12.78,15
55.0,175.0,0.1149793,0.21285900000000002,0.1425964,0.2056673,114.5857620471279,0.30028183848824597,0.20327975116734864,0.149678381786851,12.78,15
55.5,175.5,0.10504630000000001,0.19853939999999998,0.13212549999999998,0.1931119,114.5857620471279,0.30028183848824597,0.18885071750591834,0.13905400785331878,12.78,15
56.0,176.0,0.09588913,0.1854228,0.1226112,0.1820747,114.5857620471279,0.30028183848824597,0.1753798684598388,0.12913517413447875,12.78,15
56.5,176.5,0.0872063,0.1732843,0.1131217,0.171843,114.5857620471279,0.30028183848824597,0.16282843371942712,0.11989332864580556,12.78,15
57.0,177.0,0.07914475,0.16324480000000005,0.1043728,0.1621935,114.5857620471279,0.30028183848824597,0.15114920383827712,0.11129370728911564,12.78,15
57.5,177.5,0.07169930000000001,0.1542458,0.0963826,0.1528467,114.5857620471279,0.30028183848824597,0.1402913055703327,0.10329884935884055,12.78,15
58.0,178.0,0.06507072,0.145041,0.08873916,0.1445764,114.5857620471279,0.30028183848824597,0.130203087159306,0.09587072161731805,12.78,15
58.5,178.5,0.05900735,0.1364156,0.08175699,0.1369464,114.5857620471279,0.30028183848824597,0.12083382328135185,0.08897197341370969,12.78,15
59.0,179.0,0.053509610000000006,0.12858830000000002,0.07520251,0.129986,114.5857620471279,0.30028183848824597,0.11213468544525523,0.08256665104303759,12.78,15
59.5,179.5,0.048556459999999996,0.12054980000000004,0.0688594,0.1230008,114.5857620471279,0.30028183848824597,0.1040592577011066,0.0766205773686659,12.78,15
60.0,180.0,0.043756960000000004,0.11378350000000001,0.06302492,0.11668170000000001,114.5857620471279,0.30028183848824597,0.09656377316080268,0.07110152591185961,12.78,15
60.5,180.5,0.1383425,0.26730400000000004,0.148582,0.2404182,114.5857620471279,0.30028183848824597,0.23451975177361223,0.17266248742879534,12.78,15
61.0,181.0,0.1754228,0.3555794000000001,0.18525540000000001,0.31669659999999994,114.5857620471279,0.30028183848824597,0.3087744294186424,0.22732723766845717,12.78,15
61.5,181.5,0.19454059999999998,0.38517880000000004,0.205847,0.3505328,114.5857620471279,0.30028183848824597,0.3438618442332374,0.2531574909784622,12.78,15
62.0,182.0,0.20305410000000002,0.38912260000000004,0.2158346,0.3585197,114.5857620471279,0.30028183848824597,0.35514948945431374,0.2614666413339065,12.78,15
62.5,182.5,0.20417980000000002,0.3772911,0.2189636,0.35175039999999996,114.5857620471279,0.30028183848824597,0.3522435574198914,0.25932666964247564,12.78,15
63.0,183.0,0.20107509999999998,0.3591924,0.21760269999999998,0.3378149,114.5857620471279,0.30028183848824597,0.34113058603803664,0.25114480290642005,12.78,15
63.5,183.5,0.1927984,0.3397385,0.2126033,0.3205537,114.5857620471279,0.30028183848824597,0.32552429493560664,0.23965504180204933,12.78,15
64.0,184.0,0.1830183,0.320158,0.20496419999999999,0.30241869999999993,114.5857620471279,0.30028183848824597,0.3077124884909799,0.2265416423902966,12.78,15
64.5,184.5,0.1712364,0.30009310000000006,0.1959561,0.28412740000000003,114.5857620471279,0.30028183848824597,0.2890895093080865,0.21283110313901776,12.78,15
65.0,185.0,0.1594355,0.2798822,0.18584889999999998,0.2657152,114.5857620471279,0.30028183848824597,0.2704909144485259,0.19913855027542748,12.78,15
65.5,185.5,0.1484357,0.2601744000000001,0.1751019,0.2489393,114.5857620471279,0.30028183848824597,0.2524037628448069,0.18582254930784306,12.78,15
66.0,186.0,0.13662950000000001,0.24339,0.1645117,0.23307789999999998,114.5857620471279,0.30028183848824597,0.2350986757599146,0.17308232663032722,12.78,15
